time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,precipitation,snowfall,cloudcover,latitude,longitude
2025-12-10 16:00:00,11.9,71,5.0,130.0,0.0,0.0,100,44.0,6.1999993
2025-12-10 17:00:00,10.2,81,1.8,30.5,0.0,0.0,100,44.0,6.1999993
2025-12-10 18:00:00,8.8,85,2.3,0.0,0.0,0.0,100,44.0,6.1999993
2025-12-10 19:00:00,6.1,93,4.3,0.0,0.0,0.0,46,44.0,6.1999993
2025-12-10 20:00:00,5.1,95,3.6,0.0,0.0,0.0,74,44.0,6.1999993
2025-12-10 21:00:00,4.8,96,3.4,0.0,0.0,0.0,67,44.0,6.1999993
2025-12-10 22:00:00,4.8,93,3.8,0.0,0.0,0.0,100,44.0,6.1999993
2025-12-10 23:00:00,4.1,93,5.1,0.0,0.0,0.0,69,44.0,6.1999993
2025-12-10 00:00:00,4.4,66,5.8,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 01:00:00,4.6,67,3.6,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 02:00:00,2.4,68,6.5,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 03:00:00,2.3,71,6.9,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 04:00:00,1.0,74,7.6,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 05:00:00,1.0,75,7.9,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 06:00:00,0.8,73,7.9,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 07:00:00,0.6,77,8.4,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 08:00:00,0.7,76,7.9,0.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 09:00:00,2.1,73,7.6,45.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 10:00:00,4.9,76,3.3,173.8,0.0,0.0,0,43.98,6.4999995
2025-12-10 11:00:00,7.3,61,2.6,291.0,0.0,0.0,0,43.98,6.4999995
2025-12-10 12:00:00,8.4,59,2.9,366.2,0.0,0.0,0,43.98,6.4999995
2025-12-10 13:00:00,9.9,60,3.2,391.5,0.0,0.0,0,43.98,6.4999995
2025-12-10 14:00:00,10.7,60,2.5,361.5,0.0,0.0,0,43.98,6.4999995
2025-12-10 15:00:00,10.2,59,4.3,280.8,0.0,0.0,0,43.98,6.4999995
2025-12-10 16:00:00,9.5,73,1.5,160.2,0.0,0.0,0,43.98,6.4999995
2025-12-10 17:00:00,7.1,81,2.2,34.8,0.0,0.0,86,43.98,6.4999995
2025-12-10 18:00:00,5.7,85,6.5,0.0,0.0,0.0,100,43.98,6.4999995
2025-12-10 19:00:00,4.9,88,6.5,0.0,0.0,0.0,92,43.98,6.4999995
2025-12-10 20:00:00,4.5,89,6.1,0.0,0.0,0.0,34,43.98,6.4999995
2025-12-10 21:00:00,4.2,89,6.1,0.0,0.0,0.0,37,43.98,6.4999995
2025-12-10 22:00:00,4.1,89,6.2,0.0,0.0,0.0,100,43.98,6.4999995
2025-12-10 23:00:00,3.7,88,6.2,0.0,0.0,0.0,74,43.98,6.4999995
2025-12-10 00:00:00,5.1,58,4.9,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 01:00:00,3.2,68,6.8,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 02:00:00,3.2,69,6.9,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 03:00:00,3.4,65,6.1,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 04:00:00,2.5,67,7.3,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 05:00:00,2.6,65,7.9,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 06:00:00,2.7,64,7.7,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 07:00:00,2.6,66,7.8,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 08:00:00,2.4,64,8.2,0.0,0.0,0.0,0,43.98,6.7999997
2025-12-10 09:00:00,4.0,63,6.1,45.8,0.0,0.0,0,43.98,6.7999997
2025-12-10 10:00:00,7.6,59,4.3,170.5,0.0,0.0,0,43.98,6.7999997
2025-12-10 11:00:00,9.2,52,3.1,285.5,0.0,0.0,0,43.98,6.7999997
2025-12-10 12:00:00,10.5,56,1.6,359.8,0.0,0.0,0,43.98,6.7999997
2025-12-10 13:00:00,12.8,40,1.1,383.8,0.0,0.0,0,43.98,6.7999997
2025-12-10 14:00:00,13.2,47,2.6,352.8,0.0,0.0,0,43.98,6.7999997
2025-12-10 15:00:00,12.8,48,4.8,271.2,0.0,0.0,0,43.98,6.7999997
2025-12-10 16:00:00,11.7,55,5.8,152.2,0.0,0.0,0,43.98,6.7999997
2025-12-10 17:00:00,8.6,70,8.5,31.8,0.0,0.0,0,43.98,6.7999997
2025-12-10 18:00:00,7.2,77,4.9,0.0,0.0,0.0,38,43.98,6.7999997
2025-12-10 19:00:00,6.6,77,3.6,0.0,0.0,0.0,100,43.98,6.7999997
2025-12-10 20:00:00,5.5,79,4.1,0.0,0.0,0.0,1,43.98,6.7999997
2025-12-10 21:00:00,5.1,79,4.0,0.0,0.0,0.0,100,43.98,6.7999997
2025-12-10 22:00:00,5.0,77,4.3,0.0,0.0,0.0,5,43.98,6.7999997
2025-12-10 23:00:00,4.6,77,5.6,0.0,0.0,0.0,70,43.98,6.7999997
2025-12-10 00:00:00,6.0,63,5.9,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 01:00:00,4.9,77,8.4,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 02:00:00,4.8,77,8.6,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 03:00:00,5.1,71,7.8,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 04:00:00,4.6,65,9.1,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 05:00:00,4.5,59,9.2,0.0,0.0,0.0,0,44.0,7.1
